Round Number,Date,Location,Home Team,Away Team,Result
28,03/03/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Konyaspor,
28,03/03/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Gençlerbirligi,
28,03/03/2021 16:00,Malatya Stadium,Yeni Malatyaspor,Besiktas,
29,07/03/2021 16:00,Türk Telekom Stadium,Galatasaray,Sivasspor,
29,07/03/2021 16:00,Gürsel Aksel Stadium,Göztepe,BB Erzurumspor,
29,07/03/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Ankaragücü,
29,07/03/2021 16:00,Antakya Atatürk Stadium,Hatayspor,Kayserispor,
29,07/03/2021 16:00,Senol Günes Stadium,Trabzonspor,Alanyaspor,
29,07/03/2021 16:00,Antalya Stadium,Antalyaspor,Kasimpasa,
29,07/03/2021 16:00,Konya Büyüksehir Stadium,Konyaspor,Fenerbahçe,
29,07/03/2021 16:00,Eryaman Stadium,Gençlerbirligi,Istanbul Basaksehir,
29,07/03/2021 16:00,Vodafone Park,Besiktas,Gaziantep F.K.,
29,07/03/2021 16:00,Denizli Atatürk Stadium,Denizlispor,Yeni Malatyaspor,
30,14/03/2021 16:00,Kazim Karabekir Stadium,BB Erzurumspor,Trabzonspor,
30,14/03/2021 16:00,Eryaman Stadium,Ankaragücü,Göztepe,
30,14/03/2021 16:00,4 Eylül Stadium,Sivasspor,Fatih Karagümrük,
30,14/03/2021 16:00,Kadir Has Stadium,Kayserispor,Galatasaray,
30,14/03/2021 16:00,Yeni Rize Sehir Stadium,Çaykur Rizespor,Hatayspor,
30,14/03/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Antalyaspor,
30,14/03/2021 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Konyaspor,
30,14/03/2021 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Gençlerbirligi,
30,14/03/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Besiktas,
30,14/03/2021 16:00,Gaziantep Arena,Gaziantep F.K.,Denizlispor,
31,21/03/2021 16:00,Türk Telekom Stadium,Galatasaray,Çaykur Rizespor,
31,21/03/2021 16:00,Antalya Stadium,Antalyaspor,BB Erzurumspor,
